"id","no","province","district","village_name","latitude","longitude","area_square_meter","hectares","shape_length","population"
2523,5528,"Bamyan","Waras","Balanaw","34.313080","67.380960","2969.25806500","296925.80650000","3.02383066",12545
2530,23079,"Maydan Wardak","Maydan Shahr","Balaqala","34.483980","68.781290","246.00394550","24600.39455000","0.80747299",5127
2540,9413,"Ghazni","Dih Yak","Balay","33.425400","68.648200","714.71891270","71471.89127000","1.15588701",1958
2551,27944,"Samangan","Ruyi Du Ab","Baldarghozar","35.561710","67.663250","2414.40691800","241440.69180000","2.63205989",39732
2561,10098,"Ghazni","Jaghuri","Balina Ghiftu Nayqala","33.277900","67.743870","2136.83386600","213683.38660000","2.49381861",12041
2567,19655,"Khost","Sabri","Balkhel","33.558490","69.840900","413.23702130","41323.70213000","1.04488498",43003
2577,860,"Badakhshan","Kishim","Baloch","36.848490","70.087780","777.29918900","77729.91890000","1.44383520",14085
2585,3983,"Balkh","Sholgara","Balowchi","36.352090","66.918540","1842.00475500","184200.47550000","2.21813551",31042
2605,2515,"Badghis","Qala-I- Naw","Balucha","34.902190","63.069510","760.05249480","76005.24948000","1.51711740",5526
2619,24099,"Nangarhar","Pachier Agam","Bamokhel","34.187490","70.256900","471.47698100","47147.69810000","1.03845361",6018
2630,6699,"Daykundi","Miramor","Banda","33.894660","67.225130","2363.07096400","236307.09640000","2.85112247",22927
2640,24322,"Nimroz","Chahar Burjak","Bandar","30.289190","61.906200","21864.30200000","2186430.20000000","6.34806529",312
2647,11651,"Ghor","Chaghcharan","Bandarghunak","34.661490","65.131690","7679.62477600","767962.47760000","6.43922221",17409
2659,4191,"Bamyan","Bamyan","Bande Bala","34.735060","67.705180","1900.36246200","190036.24620000","2.26187725",43334
2664,4101,"Balkh","Zari","Bande Chep","35.839150","66.760770","846.40734410","84640.73441000","1.48816850",34962
2677,4718,"Bamyan","Panjab","Bande Sang","34.499120","66.811400","1895.78632700","189578.63270000","2.99211860",11999
2689,20846,"Laghman","Alishing","Bando","34.729300","70.063290","671.90366080","67190.36608000","1.24205012",44502
2701,24005,"Nangarhar","Kuz Kunar","Bangaw","34.567990","70.635090","292.77103220","29277.10322000","0.82796164",7907
2714,25132,"Paktika","Gomal","Bangi Kota","32.742810","68.762540","4078.43259300","407843.25930000","3.28619789",14315
2727,14313,"Hilmand","Sangin","Banoza'i","32.192050","64.983820","507.97389800","50797.38980000","1.15130292",20988
2736,30253,"Zabul","Kakar","Baqi Kalay","32.884380","67.048900","1080.88974300","108088.97430000","1.73126371",46827
2749,23915,"Nangarhar","Khogayani","Bar Arghach","34.294400","70.168200","655.00831890","65500.83189000","1.61419339",31044
2757,9032,"Ghazni","Ajristan","Bar Botaw","33.359290","66.901590","1620.35271700","162035.27170000","2.42986197",30662
2074,2040,"Badghis","Bala Murghab","Badar Musazai","35.699300","63.473300","4491.30951800","449130.95180000","4.10316880",17310
2105,1124,"Badakhshan","Raghistan","Badman","37.614880","70.423580","1276.03790400","127603.79040000","2.18841382",49657
2113,11753,"Ghor","Charsada","Badqol","35.043800","65.111090","1345.71323600","134571.32360000","2.09924711",32525
2126,11362,"Ghazni","Waghaz","Badray","33.355400","68.220690","417.07791640","41707.79164000","0.82963588",8990
2146,13664,"Hilmand","Kajaki","Bagarkhel","32.337190","65.063100","1975.93375400","197593.37540000","2.67956830",11691
2164,7545,"Farah","Bala Buluk","Bagh Kalan","32.621990","62.512000","5450.51970900","545051.97090000","4.51693938",30974
2189,26201,"Paktya","Laja Ahmad Khail","Baghakay","33.829290","69.638700","422.23853860","42223.85386000","1.10446176",8463
2199,4451,"Bamyan","Panjab","Baghalak","34.370350","66.791530","1895.78632700","189578.63270000","2.99211860",14315
2213,13924,"Hilmand","Musa Qala","Baghatay","32.667100","64.665500","1693.82297700","169382.29770000","2.04508968",43455
2223,3904,"Balkh","Marmul","Baghcha-i-Qati","36.557020","67.296880","582.53387210","58253.38721000","1.31223640",44662
2233,2880,"Baghlan","Dushi","Baghe Balina","35.542220","68.525310","1902.11455000","190211.45500000","2.76820789",23634
2242,26981,"Parwan","Salang","Baghe Maydan","35.223490","69.221680","508.16549300","50816.54930000","1.03503481",19771
2252,2937,"Baghlan","Dushi","Baghe Qadzi","35.744060","68.787960","1902.11455000","190211.45500000","2.76820789",44029
2262,22129,"Maydan Wardak","Hisa-I- Awali Bihsud","Baghe Zaghan","34.527580","68.052580","1575.97127300","157597.12730000","2.02800873",19685
2272,30683,"Zabul","Shahjoy","Baghgay (1)","32.564110","67.402850","1721.10491200","172110.49120000","2.12445070",29250
2281,3747,"Balkh","Khulm","Baghicha","36.719630","67.721500","3043.63856500","304363.85650000","2.63961575",31298
2287,15043,"Hirat","Injil","Bagh-i-Masan","34.276200","62.262410","190.29691960","19029.69196000","0.58329807",13404
2297,131,"Badakhshan","Argo","Bagh-i-Shah","37.089570","70.526630","1031.65695800","103165.69580000","1.88035696",31406
2306,13380,"Hilmand","Baghran","Baghran","33.009830","64.967770","3124.39714600","312439.71460000","3.11994608",49272
2317,19398,"Khost","Jaji Maidan","Bagina","33.686120","70.034110","327.53090400","32753.09040000","0.86962530",8010
2325,26001,"Paktya","Chamkani","Bagyar","33.800300","69.749300","298.57269470","29857.26947000","0.89466929",987
2332,15683,"Hirat","Shindand","Bahadurjay","33.237500","62.202610","6762.97916800","676297.91680000","5.77895722",38347
2353,17164,"Kandahar","Arghistan","Bahawuddin Kalay","31.570790","66.365000","3908.88030100","390888.03010000","3.54865906",14734
2370,15592,"Hirat","Pashtun Zarghun","Ba'i","34.297200","62.462710","1907.34956900","190734.95690000","2.23969538",39905
2380,25745,"Paktika","Wor Mayi","Ba'i Zami Kalay","32.151690","68.813390","3200.41523700","320041.52370000","3.00050925",9538
2390,20430,"Kunduz","Dashte Archi","Bajawri (2)","37.004470","69.165820","820.46842630","82046.84263000","1.25221221",33090
2399,23215,"Maydan Wardak","Saydabad","Bakagak","33.851990","68.533190","1123.81610400","112381.61040000","1.90142804",39899
2415,7277,"Daykundi","Shahristan","Bakhbi","33.747100","66.676400","1963.34655500","196334.65550000","2.89261492",32946
2426,20688,"Kunduz","Kunduz","Bakhshi","36.769140","68.924280","610.28746760","61028.74676000","1.73370690",24536
2431,30810,"Zabul","Shamulzayi","Bakhtara","31.813170","67.651880","2911.66747200","291166.74720000","2.75162063",43564
2439,18720,"Kandahar","Spin Boldak","Bakhtyar Chawda","31.142600","66.400390","5644.20076100","564420.07610000","3.50349977",12338
2451,24769,"Nuristan","Kamdesh","Bakolshata","35.446700","71.401890","1220.19974900","122019.97490000","1.82902174",30278
2460,9747,"Ghazni","Jaghuri","Bala Deh","32.963570","67.377740","2136.83386600","213683.38660000","2.49381861",2324
2474,3601,"Balkh","Chimtal","Bala Kohi","36.576260","66.822660","1724.58616600","172458.61660000","2.54049929",30695
2488,6362,"Daykundi","Kajran","Baladasht","33.150520","65.573750","1886.72443200","188672.44320000","2.62302963",31931
2501,27142,"Parwan","Shekh  Ali","Balaghak","34.978770","68.569440","915.68440070","91568.44007000","1.37212429",14350
2513,16780,"Kabul","Shakardara","Balakarez","34.623600","69.032690","320.68204150","32068.20415000","1.01104173",11894
2520,9314,"Ghazni","Bahrami Shahid (Jaghatu)","Balana-qergho'i","33.505600","67.974990","589.36192030","58936.19203000","1.36221136",19948
2529,17902,"Kandahar","Maruf","Balanzay","31.602700","67.128400","3190.97530100","319097.53010000","3.44291338",14762
2539,10853,"Ghazni","Nawur","Balashighlang","34.038820","67.475340","5234.49395400","523449.39540000","4.13437227",14259
2559,8683,"Faryab","Pashtun Kot","Balich","35.958000","64.637290","2767.44458000","276744.45800000","3.80849782",13529
2574,23550,"Nangarhar","Chaparhar","Baloc Koruna(Kac)","34.309760","70.328080","225.66045870","22566.04587000","0.68336400",694
